ID;VALOR_PARCELA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;VALOR_TOTAL;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_NAO_PAGAS;VALOR_TTN_PAGO;VALOR_TT_PAGO
788;79,7;0;0;0;0;0;0;0;0;0;0;0;0;;;;956,4;12;12;0;0;956,4
789;72,77;0;0;0;0;;;;;;;;;;;;291,08;4;4;0;0;291,08
790;82,18;0;0;0;0;0;0;0;0;;;;;;;;657,44;8;8;0;0;657,44
791;169,92;0;0;0;;;;;;;;;;;;;509,76;3;3;0;0;509,76
792;11,52;0;0;0;0;0;0;;;;;;;;;;69,12;6;6;0;0;69,12
793;100,34;0;0;0;0;0;;;;;;;;;;;501,7;5;5;0;0;501,7
794;122,94;0;0;0;0;0;0;0;0;;;;;;;;983,52;8;8;0;0;983,52
795;91,14;0;0;0;0;0;0;;;;;;;;;;546,84;6;6;0;0;546,84
796;51,88;0;0;0;0;0;0;0;0;0;0;0;0;;;;622,56;12;12;0;0;622,56
797;75,9;0;0;0;0;0;0;0;0;0;0;;;;;;759;10;10;0;0;759
798;137,99;0;0;0;0;0;0;0;0;0;0;;;;;;1379,9;10;10;0;0;1379,9
799;55,65;0;0;0;0;0;0;0;0;;;;;;;;445,2;8;8;0;0;445,2
800;54,02;0;0;0;0;0;0;0;;;;;;;;;378,14;7;7;0;0;378,14
801;39,25;0;0;0;0;;;;;;;;;;;;157;4;4;0;0;157
802;97;0;0;0;;;;;;;;;;;;;291;3;3;0;0;291
803;132,92;0;0;0;0;0;0;0;0;0;0;0;0;;;;1595,04;12;12;0;0;1595,04
804;156,79;0;0;0;;;;;;;;;;;;;470,37;3;3;0;0;470,37
805;57,77;0;0;0;;;;;;;;;;;;;173,31;3;3;0;0;173,31
806;122,71;0;0;0;0;0;0;0;0;;;;;;;;981,68;8;8;0;0;981,68
807;98,56;0;0;0;0;0;0;0;0;0;0;;;;;;985,6;10;10;0;0;985,6
808;120,45;0;0;0;0;0;0;0;0;0;0;0;0;;;;1445,4;12;12;0;0;1445,4
809;148,84;0;0;0;0;0;0;0;0;0;0;0;0;;;;1786,08;12;12;0;0;1786,08
810;28,33;0;0;0;0;0;0;;;;;;;;;;169,98;6;6;0;0;169,98
811;55,89;0;0;0;0;0;0;0;0;0;0;0;0;;;;670,68;12;12;0;0;670,68
812;62,82;0;0;0;0;0;;;;;;;;;;;314,1;5;5;0;0;314,1
813;20,32;0;0;0;0;0;0;;;;;;;;;;121,92;6;6;0;0;121,92
814;187,41;0;0;0;0;0;;;;;;;;;;;937,05;5;5;0;0;937,05
815;113,25;0;0;0;0;0;0;0;0;0;0;0;0;;;;1359;12;12;0;0;1359
816;169,59;0;0;0;0;0;0;;;;;;;;;;1017,54;6;6;0;0;1017,54
817;16,54;0;0;0;0;0;0;;;;;;;;;;99,24;6;6;0;0;99,24
818;67,93;0;0;0;0;0;0;0;0;0;0;0;0;;;;815,16;12;12;0;0;815,16
819;59,55;0;0;0;0;0;;;;;;;;;;;297,75;5;5;0;0;297,75
820;81,38;0;0;0;0;0;0;0;0;0;0;;;;;;813,8;10;10;0;0;813,8
821;41,43;0;0;0;0;0;0;0;0;0;0;0;0;;;;497,16;12;12;0;0;497,16
822;133;0;0;0;0;0;0;0;0;0;0;0;0;;;;1596;12;12;0;0;1596
823;92,37;0;0;0;0;0;0;0;0;0;0;0;0;;;;1108,44;12;12;0;0;1108,44
824;95,3;0;0;0;0;;;;;;;;;;;;381,2;4;4;0;0;381,2
825;171,28;0;0;0;0;0;0;0;0;0;0;;;;;;1712,8;10;10;0;0;1712,8
826;39;0;0;0;0;;;;;;;;;;;;156;4;4;0;0;156
827;78,03;0;0;0;0;0;0;0;0;;;;;;;;624,24;8;8;0;0;624,24
